MDEwOlJlcG9zaXRvcnkyMjkzMTU4,metasploit-framework,rapid7,Ruby,20811,10191,3950
MDEwOlJlcG9zaXRvcnk4NDMyMjI=,scikit-learn,scikit-learn,Python,41266,19963,7619
MDEwOlJlcG9zaXRvcnkyNTAyNzUzOQ==,scout,Clinical-Genomics,Python,83,26,1139
MDEwOlJlcG9zaXRvcnkxOTY1MTkxODI=,React-Pincode,Awesome-React-Modules,JavaScript,18,27,25
MDEwOlJlcG9zaXRvcnkyMTc2NDQzMTY=,crisiscleanup-3-web,CrisisCleanup,Vue,12,5,408
MDEwOlJlcG9zaXRvcnkyNDcxMjE4MQ==,trustroots,Trustroots,JavaScript,297,116,713
MDEwOlJlcG9zaXRvcnk2MDg4NDc5NQ==,curriculum,Techtonica,JavaScript,347,372,541
MDEwOlJlcG9zaXRvcnk1MDQyNDEwMQ==,docs.rs,rust-lang,Rust,481,91,450
MDEwOlJlcG9zaXRvcnkyMzgxNjk0NTY=,Conference-Notify,rajatkb,HTML,11,22,47
MDEwOlJlcG9zaXRvcnkxMjc0MDc5NTc=,leetcode,azl397985856,JavaScript,33679,6249,177
MDEwOlJlcG9zaXRvcnkyMzgwNjMyMTU=,girlscript_app,smaranjitghose,Dart,43,88,109
MDEwOlJlcG9zaXRvcnkxNTIyMzA1Nzc=,BUB2,coderwassananmol,JavaScript,20,52,72
MDEwOlJlcG9zaXRvcnkyMzI4MTMzODY=,Data-Modeling,CropAi,Jupyter Notebook,11,27,39
MDEwOlJlcG9zaXRvcnk2MjM1MTc0,conda,conda,Python,3662,926,7368
MDEwOlJlcG9zaXRvcnkzODM3MzMzOA==,scancode-toolkit,nexB,C,974,272,1349
MDEwOlJlcG9zaXRvcnkxNjkxOTY3,synfig,synfig,C++,781,169,856
MDEwOlJlcG9zaXRvcnkyMTA3MTYwMDU=,runtime,dotnet,C#,2849,1017,33532
MDEwOlJlcG9zaXRvcnkzNTUxNzEyNg==,borg,borgbackup,C,6312,472,2756
MDEwOlJlcG9zaXRvcnkxNTkyNjc3NzE=,alembic,sqlalchemy,Python,599,69,668
MDEwOlJlcG9zaXRvcnkyNjE5MjExNw==,lxd,lxc,Go,2628,617,3485
MDEwOlJlcG9zaXRvcnkyMTQ2NTE1NzU=,BlogMan,adavijit,JavaScript,26,88,102
MDEwOlJlcG9zaXRvcnk0NzIxNDE1MA==,stopstalk-deployment,stopstalk,Python,225,72,302
MDEwOlJlcG9zaXRvcnkyMDM2ODA5MDM=,companion-module-requests,bitfocus,,17,0,207
MDEwOlJlcG9zaXRvcnk1NzIwOTk1,lxc,lxc,C,3066,885,1359
MDEwOlJlcG9zaXRvcnkxNTM0NDI4NjQ=,CircuitVerse,CircuitVerse,JavaScript,197,302,720
MDEwOlJlcG9zaXRvcnkxOTI1NDA0NDQ=,footsteps-app,fnplus,JavaScript,35,67,56
MDEwOlJlcG9zaXRvcnkxNTkyNzExNzU=,sqlalchemy,sqlalchemy,Python,2454,363,5223
MDEwOlJlcG9zaXRvcnk0MTIzOTQ3OQ==,luna,luna-rs,Java,123,42,174
MDEwOlJlcG9zaXRvcnkxODg0NjA3MTI=,ccsearch-browser-extension,creativecommons,JavaScript,68,52,107
MDEwOlJlcG9zaXRvcnkyMjczMzg3NjU=,barview-android,krharsh17,Kotlin,25,47,44
MDEwOlJlcG9zaXRvcnkyNjc1MzU1,javaparser,javaparser,Java,3160,735,1616
MDEwOlJlcG9zaXRvcnkyMDg5NDM3,AncientBeast,FreezingMoon,JavaScript,801,231,1391
MDEwOlJlcG9zaXRvcnk2MjM1MDM4MA==,reqwest,seanmonstar,Rust,2865,381,557
MDEwOlJlcG9zaXRvcnkyMTI0NDUwNQ==,qutebrowser,qutebrowser,Python,5585,749,3959
MDEwOlJlcG9zaXRvcnk1NTMwMjU3MA==,pyglmnet,glm-tools,Python,219,71,181
MDEwOlJlcG9zaXRvcnkyMDI5NzgxMDY=,conference-app-2020,DroidKaigi,Kotlin,658,319,337
MDEwOlJlcG9zaXRvcnk4NDY2Mzc5,QGIS-Documentation,qgis,Python,176,390,2401
MDEwOlJlcG9zaXRvcnkxNTE0NTk4MzM=,sef-site,sef-global,HTML,18,52,303
MDEwOlJlcG9zaXRvcnkzMDg5NTUyMg==,pvlib-python,pvlib,Python,377,374,507
MDEwOlJlcG9zaXRvcnk0MTE5MzUzNA==,bitfighter,bitfighter,C++,33,12,620
